School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
Boulder Creek High School,"Anthem, AZ",85086,2456,45,25:1,95,Yes,Yes,4,TRUE,77.14,1.56,14.61,NULL,NULL,Yes,A,9
Great Hearts Academies - Anthem Prep,"Anthem, AZ",85086,196,75,NULL,100,Yes,Yes,NULL,TRUE,66.86,8.36,15.26,467,559,Yes,A,25
West-mec - Boulder Creek High School,"Anthem, AZ",85086,4,NULL,NULL1:1,NULL,Yes,Yes,NULL,TRUE,25,0,75,4,0,No,NULL,NULL
Agua Fria High School,"Avondale, AZ",85323,1608,83,17:1,92,Yes,Yes,27,TRUE,12.16,1.88,71.69,805,822,Yes,B,14
Arizona Agribusiness & Equine Center - Estrella,"Avondale, AZ",85338,NULL,104,NULL,NULL,Yes,Yes,NULL,FALSE,33.49,6.07,50.73,161,228,No,A,7
E-institute At Avondale,"Avondale, AZ",85338,99,NULL,NULL,16,Yes,Yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Estrella High School,"Avondale, AZ",85338,162,NULL,NULL,7,Yes,Yes,43,TRUE,NULL,NULL,69.64,68,63,No,B,6
La Joya Community High School,"Avondale, AZ",85338,2059,189,24:1,79,Yes,Yes,22,TRUE,4.72,NULL,81.52,1129,1066,Yes,B,18
West-mec - Agua Fria High School,"Avondale, AZ",85338,3,NULL,NULL1:1,NULL,Yes,Yes,NULL,FALSE,33,0,67,1,2,No,NULL,NULL
West-mec - La Joya High School,"Avondale, AZ",85338,5,NULL,NULL1:1,NULL,Yes,Yes,NULL,FALSE,0,0,60,7,1,No,NULL,NULL
West-mec - West View High School,"Avondale, AZ",85338,10,NULL,NULL1:1,NULL,Yes,Yes,NULL,TRUE,20,0,40,5,5,No,NULL,NULL
Westview High School,"Avondale, AZ",85338,1843,165,21:1,84,Yes,Yes,22,FALSE,9.28,2.31,70.6,NULL,NULL,Yes,B,
Aspc - Lewis,"Buckeye, AZ",85338,NULL,NULL,NULL,NULL,Yes,Yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
Buckeye Union High School,"Buckeye, AZ",85338,1718,191,19:1,90,Yes,Yes,20,FALSE,23.68,NULL,65.47,849,980,Yes,B,8
E-institute At Buckeye,"Buckeye, AZ",85338,88,NULL,NULL,14,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Odyssey Institute For Advanced And International Studies,"Buckeye, AZ",85338,833,110,NULL,98,Yes,Yes,NULL,TRUE,42.91,NULL,42.79,793,837,No,B,27
Skyview High School,"Buckeye, AZ",85338,163,NULL,NULL,29,Yes,Yes,29,FALSE,23.56,NULL,60.34,70,65,Yes,B,6
Verrado High School,"Buckeye, AZ",85338,1715,79,21:1,96,Yes,Yes,7,FALSE,40.72,1.94,46.55,1058,912,Yes,A,5
West-mec - Buckeye Union High School,"Buckeye, AZ",85338,15,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
West-mec - Verrado High School,"Buckeye, AZ",85338,NULL,NULL,NULL,NULL,Yes,Yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
West-mec - Youngker High School,"Buckeye, AZ",85338,24,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
Youngker High School,"Buckeye, AZ",85338,1987,105,23:1,92,Yes,Yes,17,TRUE,21.64,NULL,65.12,1022,1083,Yes,A,9
Arizona College Prep,"Chandler, AZ",85338,1225,13,22:1,99,Yes,Yes,2,FALSE,41.09,31.98,14.66,1051,969,Yes,A,8
Az Compass Prep School,"Chandler, AZ",85338,174,237,NULL,88,Yes,Yes,NULL,FALSE,10.53,NULL,25.91,159,112,Yes,A,6
Basha High School,"Chandler, AZ",85338,2420,33,20:1,91,Yes,Yes,3,FALSE,59.89,10.98,17.48,1505,1371,Yes,A,11
Basis Chandler,"Chandler, AZ",85339,377,30,NULL,98,Yes,Yes,NULL,FALSE,8.37,81.6,3.31,620,545,Yes,A,21
Blueprint High School,"Chandler, AZ",85339,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Bogle Junior High School,"Chandler, AZ",85249,1233,108,19:1,NULL,Yes,Yes,NULL,FALSE,43.73,7.97,31.99,532,519,Yes,A,6
Brightmont Academy - Chandler,"Chandler, AZ",85249,70,NULL,4:1,NULL,Yes,Yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Chandler High School,"Chandler, AZ",85249,3549,89,22:1,88,Yes,Yes,19,TRUE,22.32,3.69,56.01,1788,1690,Yes,B,21
Chandler Online Academy,"Chandler, AZ",85249,370,NULL,19:1,88,Yes,Yes,NULL,FALSE,47.81,9.01,26.56,137,209,Yes,B,1
Great Hearts Academies - Archway Chandler,"Chandler, AZ",85249,529,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,47.74,17.48,18.8,248,279,No,A,6
Great Hearts Academies - Chandler Prep,"Chandler, AZ",85249,325,63,NULL,99,Yes,Yes,NULL,FALSE,48.74,18.26,16.29,352,349,No,A,8
Great Hearts Academies - Lincoln Prep,"Chandler, AZ",85249,197,NULL,NULL,97,Yes,Yes,NULL,TRUE,46.92,22.99,14.02,296,292,Yes,C,16
